1.000000000000000048e-04,3.237908240657465242e-02,1.233942714215902292e+01,8.904511163654342809e+00,0.000000000000000000e+00,4.329785035108035807e-01
1.100000000000000066e-03,3.763269074564522948e-02,1.229895612382989611e+01,8.875306028734801345e+00,1.094538026683419949e-07,4.329785035108018598e-01
2.100000000000000304e-03,4.173748804127722783e-02,1.222923761335734838e+01,8.824995001515686610e+00,2.185486172894276317e-07,4.329785035107966973e-01
3.100000000000000325e-03,4.518101000287721297e-02,1.214959781467294775e+01,8.767524466758391810e+00,3.270250112982949264e-07,4.329785035107881486e-01
4.100000000000000346e-03,4.818541469035626801e-02,1.206645282767085270e+01,8.707524480013834278e+00,4.347949803889347160e-07,4.329785035107762692e-01
5.100000000000000366e-03,5.087311561325141146e-02,1.198245144098608073e+01,8.646906488847529104e+00,5.418274326649358229e-07,4.329785035107611701e-01
6.100000000000000387e-03,5.331964245179604545e-02,1.189881866824427981e+01,8.586554500870166251e+00,6.481147716470751435e-07,4.329785035107429070e-01
7.100000000000000408e-03,5.557527920994913967e-02,1.181615343371630722e+01,8.526900718305935101e+00,7.536602670331494310e-07,4.329785035107215352e-01
8.099999999999999561e-03,5.767539289966833876e-02,1.173475089642324498e+01,8.468158137006913222e+00,8.584725011289235002e-07,4.329785035106971103e-01
9.100000000000000450e-03,5.964591683037596959e-02,1.165474873944220491e+01,8.410426113327583053e+00,9.625626743744466077e-07,4.329785035106696878e-01
1.010000000000000134e-02,6.150649954216683146e-02,1.157619935201336325e+01,8.353742452959298959e+00,1.065943208493072349e-06,4.329785035106393787e-01
1.110000000000000223e-02,6.327242635748932253e-02,1.149910773043004220e+01,8.298110761381405354e+00,1.168626989913808246e-06,4.329785035106062385e-01
1.210000000000000311e-02,6.495585015450340560e-02,1.142345233501080770e+01,8.243515494895515161e+00,1.270626949384032231e-06,4.329785035105702673e-01
1.310000000000000400e-02,6.656661154469860342e-02,1.134919697938701866e+01,8.189930540302061246e+00,1.371955826588764777e-06,4.329785035105315760e-01
